Treatment;Data;geneid;DHDPS;Type Data
Mean_ZON_24hr_BA;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_ZON_24hr_R7A;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Nodules_10dpi;3;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_3dpi_root_mock;19;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_3dpi_root_R7A;11;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_3dpi_shoot_mock;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_3dpi_shoot_R7A;12;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_15dpi;198;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_27dpi;18904;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_mock_15d;43;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Mature_flower;32;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Immature_flower;23;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Pod;5;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Seed;119;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root;38;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Leaf;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_mock_27d_P;54;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_mock_27d;124;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_mock_rhizobia;586;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_nodC_24hr;422;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_R7A_24hr;593;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_R7A_72hr;418;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_mock_NF;139;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_NF_24hr;147;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Nodule_primordia_7dpi;27;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Nodules_21dpi;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_mock_microbialspectrum;1;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_M_loti_R7A_3dpi;12;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;12;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Sinorhizobium_fredii_HH103_3dpi;6;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;11;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Ralstonia_solanacearum_JS763_3dpi;15;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
