Treatment;Data;geneid;DHDPS;Type Data
Mean_Root_hair_mock_rhizobia;0,01;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Root_hair_nodC_24hr;0,04;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Root_hair_R7A_24hr;0,17;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Root_hair_R7A_72hr;0,04;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Root_hair_mock_NF;0,03;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Root_hair_NF_24hr;0,05;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Nodule_primordia_7dpi;0,05;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Nodules_21dpi;0,00;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Root_mock_microbialspectrum;0,12;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_M_loti_R7A_3dpi;0,13;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;0,13;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Sinorhizobium_fredii_HH103_3dpi;0,13;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;0,13;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_Ralstonia_solanacearum_JS763_3dpi;0,11;LotjaGi3g1v0431900;Lj.DHDPS-B2;Normalized
Mean_ZON_1hr_mock;0,75;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_ZON_1hr_BA;0,74;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_ZON_24hr_mock;0,93;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_ZON_24hr_BA;0,75;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_ZON_24hr_R7A;0,71;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Nodules_10dpi;0,26;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_3dpi_root_mock;0,72;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_3dpi_root_R7A;0,70;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_3dpi_shoot_mock;0,94;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
