ID,Experiment,Gene_Model,Log2FoldChange,STRESS
24,13_SRP108540_5Bic_effect_U06-105454_Root,HSDH (Glyma.20G053200),0.156692439,Abiotic
24,13_SRP108540_LowFe_effect_U06-625083_Root,HSDH (Glyma.20G053200),0.139422984,Abiotic
24,13_SRP108540_LowFe_effect_U06-105454_Root,HSDH (Glyma.20G053200),0.387575413,Abiotic
24,14_SRP155375_Si-_P.soja_Infection_4dpi_Hikmok_Root,HSDH (Glyma.20G053200),-0.850710007,Biotic
24,14_SRP155375_Si-_P.soja_Infection_7dpi_Hikmok_Root,HSDH (Glyma.20G053200),-0.303117466,Biotic
24,14_SRP155375_Si-_P.soja_infection_14dpi_Hikmok_Root,HSDH (Glyma.20G053200),0.173793461,Biotic
24,14_SRP155375_Si+_P.soja_infection_4dpi_Hikmok_Root,HSDH (Glyma.20G053200),-0.542851547,Biotic
24,14_SRP155375_Si+_P.soja_infection_7dpi_Hikmok_Root,HSDH (Glyma.20G053200),-0.544841127,Biotic
24,14_SRP155375_Si+_P.soja_infection_14dpi_Hikmok_Root,HSDH (Glyma.20G053200),-0.778832266,Biotic
24,14_SRP155375_SI-_S+_0dpi_Hikmok_Root,HSDH (Glyma.20G053200),0.304683317,Biotic
24,14_SRP155375_SI-_S+_4dpi_Hikmok_Root,HSDH (Glyma.20G053200),0.553395906,Biotic
24,14_SRP155375_SI-_S+_7dpi_Hikmok_Root,HSDH (Glyma.20G053200),0.07418396,Biotic
24,14_SRP155375_SI-_S+_14dpi_Hikmok_Root,HSDH (Glyma.20G053200),-0.643995428,Biotic
24,15_SRP056137_non_path_72hpi_F.oxysporum_Forrest_Root,HSDH (Glyma.20G053200),0.109088715,Biotic
24,15_SRP056137_non_path_96hpi_F.oxysporum_Forrest_Root,HSDH (Glyma.20G053200),0.022271837,Biotic
24,15_SRP056137_path_72hpi_F.oxysporum_Forrest_Root,HSDH (Glyma.20G053200),0.255942035,Biotic
24,15_SRP056137_path_96hpi_F.oxysporum_Forrest_Root,HSDH (Glyma.20G053200),0.029884723,Biotic
24,16_SRP091708_Nematode_R.reniformis_3DAI_Hutcheson_Root,HSDH (Glyma.20G053200),0.914149064,Biotic
24,16_SRP091708_Nematode_R.reniformis_6DAI_Hutcheson_Root,HSDH (Glyma.20G053200),0.653376096,Biotic
24,16_SRP091708_Nematode_R.reniformis_9DAI_Hutcheson_Root,HSDH (Glyma.20G053200),0.416859681,Biotic
24,16_SRP091708_Nematode_R.reniformis_12DAI_Hutcheson_Root,HSDH (Glyma.20G053200),0.595800885,Biotic
24,17_SRP126743_SMV_12h_Jack_Leaf,HSDH (Glyma.20G053200),0.523097063,Biotic
24,17_SRP126743_SMV_24h_Jack_Leaf,HSDH (Glyma.20G053200),0.402697432,Biotic
24,18_SRP135932_H.glycine_5DAI_Heidou_Root,HSDH (Glyma.20G053200),0.311452099,Biotic
24,18_SRP135932_H.glycine_10DAI_Heidou_Root,HSDH (Glyma.20G053200),-0.089171071,Biotic
24,18_SRP135932_H.glycine_15DAI_Heidou_Root,HSDH (Glyma.20G053200),-0.338629561,Biotic
25,1_SRP009826_Elevated_Ozone_Be Sweet 292_Leaf,HK (Glyma.14G001000),0.186328104,Abiotic
25,2_SRP024277_Elevated_Temperature_93B15_Seed_Coat,HK (Glyma.14G001000),0.029948863,Abiotic
25,2_SRP024277_Elevated_Ozone_93B15_Seed_Coat,HK (Glyma.14G001000),-0.004468242,Abiotic
25,2_SRP024277_Elevated_Drought_93B15_Seed_Coat,HK (Glyma.14G001000),-0.029907097,Abiotic
25,3_SRP031889_1_hour_Fe_deficiency_Clark_Leaf,HK (Glyma.14G001000),0.223569022,Abiotic
25,3_SRP031889_6_hour_Fe_deficiency_Clark_Leaf,HK (Glyma.14G001000),0.010056203,Abiotic
25,3_SRP031889_1_hour_Fe_deficiency_Clark_Root,HK (Glyma.14G001000),-0.146012525,Abiotic
25,3_SRP031889_6_hour_Fe_deficiency_Clark_Root,HK (Glyma.14G001000),0.076543684,Abiotic
25,4_SRP035871_Elevated_Ozone_93B15_Flower,HK (Glyma.14G001000),0.186400096,Abiotic
25,4_SRP035871_Elevated_Ozone_93B15_Pod,HK (Glyma.14G001000),-0.012798574,Abiotic
25,5_SRP041622_Dehydration_1h_Wm82_Root,HK (Glyma.14G001000),0.19565495,Abiotic
25,5_SRP041622_Dehydration_6h_Wm82_Root,HK (Glyma.14G001000),0.285005971,Abiotic
25,5_SRP041622_Dehydration_12h_Wm82_Root,HK (Glyma.14G001000),0.013759942,Abiotic
25,5_SRP041622_Salt_1h_Wm82_Root,HK (Glyma.14G001000),0.11553498,Abiotic
25,5_SRP041622_Salt_6h_Wm82_Root,HK (Glyma.14G001000),-0.346921061,Abiotic
25,5_SRP041622_Salt_12h_Wm82_Root,HK (Glyma.14G001000),-0.053515134,Abiotic
25,6_SRP045932_Water_Deficit_6h_Benning_Shoot,HK (Glyma.14G001000),0.458645051,Abiotic
25,6_SRP045932_Water_Deficit_12h_Benning_Shoot,HK (Glyma.14G001000),0.24307515,Abiotic
25,6_SRP045932_Water_Deficit_24h_Benning_Shoot,HK (Glyma.14G001000),0.050571183,Abiotic
25,6_SRP045932_Water_Deficit_6h_PI416937_Shoot,HK (Glyma.14G001000),1.003311509,Abiotic
25,6_SRP045932_Water_Deficit_12h_PI416937_Shoot,HK (Glyma.14G001000),0.131954977,Abiotic
25,6_SRP045932_Water_Deficit_24h_PI416937_Shoot,HK (Glyma.14G001000),-0.12161691,Abiotic
25,7_SRP050050_Ethylene_12h_Wm82_Leaf_Abscicic_Zone,HK (Glyma.14G001000),-0.536719319,Abiotic
