ID,Experiment,Gene_Model,Log2FoldChange,STRESS
106,2_SRP024277_Elevated_Ozone_93B15_Seed_Coat,LKR/SDH (Glyma.13G115500),0.192952007,Abiotic
106,2_SRP024277_Elevated_Drought_93B15_Seed_Coat,LKR/SDH (Glyma.13G115500),-0.001795032,Abiotic
106,3_SRP031889_1_hour_Fe_deficiency_Clark_Leaf,LKR/SDH (Glyma.13G115500),0.174889316,Abiotic
106,3_SRP031889_6_hour_Fe_deficiency_Clark_Leaf,LKR/SDH (Glyma.13G115500),-0.780729135,Abiotic
106,3_SRP031889_1_hour_Fe_deficiency_Clark_Root,LKR/SDH (Glyma.13G115500),0.618682422,Abiotic
106,3_SRP031889_6_hour_Fe_deficiency_Clark_Root,LKR/SDH (Glyma.13G115500),0.3662245,Abiotic
106,4_SRP035871_Elevated_Ozone_93B15_Flower,LKR/SDH (Glyma.13G115500),-1.245377705,Abiotic
106,4_SRP035871_Elevated_Ozone_93B15_Pod,LKR/SDH (Glyma.13G115500),-0.294479777,Abiotic
106,5_SRP041622_Dehydration_1h_Wm82_Root,LKR/SDH (Glyma.13G115500),-0.312716574,Abiotic
106,5_SRP041622_Dehydration_6h_Wm82_Root,LKR/SDH (Glyma.13G115500),-0.163583096,Abiotic
106,5_SRP041622_Dehydration_12h_Wm82_Root,LKR/SDH (Glyma.13G115500),0.069764316,Abiotic
106,5_SRP041622_Salt_1h_Wm82_Root,LKR/SDH (Glyma.13G115500),0.227464775,Abiotic
106,5_SRP041622_Salt_6h_Wm82_Root,LKR/SDH (Glyma.13G115500),0.103346413,Abiotic
106,5_SRP041622_Salt_12h_Wm82_Root,LKR/SDH (Glyma.13G115500),0.063529675,Abiotic
106,6_SRP045932_Water_Deficit_6h_Benning_Shoot,LKR/SDH (Glyma.13G115500),5.120923834,Abiotic
106,6_SRP045932_Water_Deficit_12h_Benning_Shoot,LKR/SDH (Glyma.13G115500),7.419647858,Abiotic
106,6_SRP045932_Water_Deficit_24h_Benning_Shoot,LKR/SDH (Glyma.13G115500),10.41133509,Abiotic
106,6_SRP045932_Water_Deficit_6h_PI416937_Shoot,LKR/SDH (Glyma.13G115500),4.83490013,Abiotic
106,6_SRP045932_Water_Deficit_12h_PI416937_Shoot,LKR/SDH (Glyma.13G115500),7.207326438,Abiotic
106,6_SRP045932_Water_Deficit_24h_PI416937_Shoot,LKR/SDH (Glyma.13G115500),9.277824068,Abiotic
106,7_SRP050050_Ethylene_12h_Wm82_Leaf_Abscicic_Zone,LKR/SDH (Glyma.13G115500),4.746428951,Abiotic
106,7_SRP050050_Ethylene_24h_Wm82_Leaf_Abscicic_Zone,LKR/SDH (Glyma.13G115500),7.992763374,Abiotic
106,7_SRP050050_Ethylene_48h_Wm82_Leaf_Abscicic_Zone,LKR/SDH (Glyma.13G115500),8.844973221,Abiotic
106,7_SRP050050_Ethylene_72h_Wm82_Leaf_Abscicic_Zone,LKR/SDH (Glyma.13G115500),9.110064592,Abiotic
106,7_SRP050050_Ethylene_12h_Wm82_Leaf_Leaf_Petiole,LKR/SDH (Glyma.13G115500),1.998811798,Abiotic
106,7_SRP050050_Ethylene_24h_Wm82_Leaf_Leaf_Petiole,LKR/SDH (Glyma.13G115500),6.721176952,Abiotic
106,7_SRP050050_Ethylene_48h_Wm82_Leaf_Leaf_Petiole,LKR/SDH (Glyma.13G115500),9.038862214,Abiotic
106,7_SRP050050_Ethylene_72h_Wm82_Leaf_Leaf_Petiole,LKR/SDH (Glyma.13G115500),9.457247733,Abiotic
106,8_SRP076153_Drought_Wm82_Leaf,LKR/SDH (Glyma.13G115500),-0.098826926,Abiotic
106,8_SRP076153_Flooding_Wm82_Leaf,LKR/SDH (Glyma.13G115500),0.752909691,Abiotic
106,9_SRP058975_water_deficit_4h_BR16_Leaves,LKR/SDH (Glyma.13G115500),0.040994053,Abiotic
106,9_SRP058975_water_deficit_8h_BR16_Leaves,LKR/SDH (Glyma.13G115500),-0.495518242,Abiotic
106,9_SRP058975_water_deficit_12h_BR16_Leaves,LKR/SDH (Glyma.13G115500),0.048776683,Abiotic
106,9_SRP058975_water_deficit_16h_BR16_Leaves,LKR/SDH (Glyma.13G115500),-0.225014484,Abiotic
106,9_SRP058975_water_deficit_20h_BR16_Leaves,LKR/SDH (Glyma.13G115500),0.441020707,Abiotic
106,10_SRP064384_Effect_CO2_No_Drought_Embrapa48_Root,LKR/SDH (Glyma.13G115500),0.130720615,Abiotic
106,10_SRP064384_Effect_CO2_50min_Drought_Embrapa48_Root,LKR/SDH (Glyma.13G115500),0.363760882,Abiotic
106,10_SRP064384_Effect_Drought_Ambient_CO2_Embrapa48_Root,LKR/SDH (Glyma.13G115500),-0.374554213,Abiotic
106,10_SRP064384_Effect_Drought_Elevated_CO2_Embrapa48_Root,LKR/SDH (Glyma.13G115500),-0.128202925,Abiotic
106,10_SRP064384_mixedEffect_SRP064384_A0_E50_Embrapa48_Root,LKR/SDH (Glyma.13G115500),0.008845964,Abiotic
106,10_SRP064384_mixedEffect_SRP064384_E0_A50_Embrapa48_Root,LKR/SDH (Glyma.13G115500),-0.51258954,Abiotic
106,11_SRP105922-965_Drought_Wm82_Root,LKR/SDH (Glyma.13G115500),1.908604391,Abiotic
106,11_SRP105922-965_HIghCO2_Wm82_Root,LKR/SDH (Glyma.13G115500),1.754374283,Abiotic
106,11_SRP105922-965_HIghpH_Wm82_Root,LKR/SDH (Glyma.13G115500),1.186681596,Abiotic
106,11_SRP105922-965_HIghT_Wm82_Root,LKR/SDH (Glyma.13G115500),1.677252131,Abiotic
106,11_SRP105922-965_lowpH_Wm82_Root,LKR/SDH (Glyma.13G115500),-0.708515697,Abiotic
106,11_SRP105922-965_lowT_Wm82_Root,LKR/SDH (Glyma.13G115500),0.72211934,Abiotic
106,11_SRP105922-965_Salinity_Wm82_Root,LKR/SDH (Glyma.13G115500),1.522765244,Abiotic
106,11_SRP105922-965_minusFe_Wm82_Root,LKR/SDH (Glyma.13G115500),1.354662335,Abiotic
106,11_SRP105922-965_minusK_Wm82_Root,LKR/SDH (Glyma.13G115500),1.272061332,Abiotic
106,11_SRP105922-965_minusN_Wm82_Root,LKR/SDH (Glyma.13G115500),1.49852805,Abiotic
106,11_SRP105922-965_minusP_Wm82_Root,LKR/SDH (Glyma.13G115500),1.204550268,Abiotic
106,12_SRP132150_Salt_1h_C08_Leaf,LKR/SDH (Glyma.13G115500),0.14917496,Abiotic
106,12_SRP132150_Salt_2h_C08_Leaf,LKR/SDH (Glyma.13G115500),2.314900376,Abiotic
106,12_SRP132150_Salt_4h_C08_Leaf,LKR/SDH (Glyma.13G115500),4.606127223,Abiotic
106,12_SRP132150_Salt_24h_C08_Leaf,LKR/SDH (Glyma.13G115500),6.326155036,Abiotic
106,12_SRP132150_Salt_48h_C08_Leaf,LKR/SDH (Glyma.13G115500),8.347304739,Abiotic
106,12_SRP132150_Salt_1h_C08_Root,LKR/SDH (Glyma.13G115500),-0.285303846,Abiotic
106,12_SRP132150_Salt_2h_C08_Root,LKR/SDH (Glyma.13G115500),1.221095156,Abiotic
106,12_SRP132150_Salt_4h_C08_Root,LKR/SDH (Glyma.13G115500),2.979014391,Abiotic
106,12_SRP132150_Salt_24h_C08_Root,LKR/SDH (Glyma.13G115500),3.152754027,Abiotic
106,12_SRP132150_Salt_48h_C08_Root,LKR/SDH (Glyma.13G115500),1.929419976,Abiotic
106,"13_SRP108540_2,5Bic_effect_U06-625083_Root",LKR/SDH (Glyma.13G115500),-0.13790283,Abiotic
106,13_SRP108540_5Bic_effect_U06-625083_Root,LKR/SDH (Glyma.13G115500),-0.516666267,Abiotic
